,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
2274,7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6,White Wine
5345,8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,6,White Wine
1963,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,White Wine
5763,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,White Wine
2956,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,White Wine
3898,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,White Wine
3969,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,White Wine
4903,6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5,White Wine
5144,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,White Wine
698,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,White Wine
292,7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6,White Wine
837,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,White Wine
6278,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,White Wine
4099,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,Red Wine
5346,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5,Red Wine
4776,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,White Wine
5537,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6,White Wine
4122,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,White Wine
736,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,White Wine
2296,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,Red Wine
4461,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,Red Wine
1971,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,White Wine
3273,7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7,White Wine
5557,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6,White Wine
197,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,White Wine
5025,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,Red Wine
1671,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,Red Wine
2685,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,White Wine
606,6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.33333333,6,White Wine
2120,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,White Wine
4342,6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5,White Wine
1159,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,White Wine
1731,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,Red Wine
2261,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,White Wine
3395,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6,Red Wine
6246,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,White Wine
2375,5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.63333333,7,White Wine
595,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,Red Wine
5343,7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6,White Wine
2304,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,White Wine
3717,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,White Wine
3419,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,White Wine
1131,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,White Wine
6089,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,White Wine
2003,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,White Wine
3591,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7,White Wine
3221,5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,White Wine
2021,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6,Red Wine
5512,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,White Wine
1707,8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6,White Wine
1582,6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,Red Wine
0,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,White Wine
691,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,White Wine
5670,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6,White Wine
5209,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,Red Wine
3146,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7,White Wine
2547,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4,White Wine
2786,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4,White Wine
2683,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,White Wine
343,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,Red Wine
4378,6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,6,White Wine
6176,5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,6,White Wine
3187,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,White Wine
5985,7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6,Red Wine
4524,7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6,White Wine
827,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,White Wine
1849,6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,White Wine
2221,7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6,White Wine
5865,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,Red Wine
3204,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,Red Wine
3513,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6,White Wine
93,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,Red Wine
5521,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4,White Wine
2467,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7,White Wine
3778,7.1,0.36,0.56,1.3,0.046,25,102,0.9923,3.24,0.33,10.5,6,White Wine
404,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6,White Wine
5037,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,Red Wine
1209,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,White Wine
5071,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,White Wine
375,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,Red Wine
3945,9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5,White Wine
2750,6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7,White Wine
497,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,White Wine
1438,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,White Wine
5485,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5,White Wine
5975,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,Red Wine
738,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,White Wine
4515,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7,White Wine
3290,8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6,White Wine
1975,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7,White Wine
1562,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,White Wine
5494,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,White Wine
5142,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5,White Wine
460,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7,White Wine
3674,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,6,White Wine
3123,7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5,White Wine
1838,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6,White Wine
1468,7,0.25,0.56,2,0.035,20,95,0.9918,3.23,0.53,11,6,White Wine
6138,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,Red Wine
6248,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7,Red Wine
4736,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,White Wine
3466,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5,White Wine
4043,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,White Wine
6029,6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,White Wine
4423,8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6,White Wine
4702,7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,6,White Wine
5638,6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6,White Wine
5534,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,White Wine
5647,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,White Wine
6313,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,Red Wine
6310,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,Red Wine
5429,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,White Wine
2987,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,White Wine
4690,8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,White Wine
3463,6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,White Wine
3292,7.2,0.21,0.31,10.5,0.035,36,122,0.99478,3.12,0.4,10.6,6,White Wine
2881,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,White Wine
5801,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,Red Wine
2908,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5,White Wine
334,6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,White Wine
741,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,White Wine
1243,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,Red Wine
100,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,White Wine
2463,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,Red Wine
2269,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6,White Wine
5298,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6,Red Wine
174,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,White Wine
605,7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,White Wine
3745,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,White Wine
4876,6.3,0.28,0.3,6.6,0.208,60,154,0.99478,3.1,0.4,9.4,6,White Wine
3808,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,White Wine
1769,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6,White Wine
848,6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,White Wine
1090,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6,White Wine
5576,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,Red Wine
5107,8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6,White Wine
2173,8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6,White Wine
1162,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,White Wine
4720,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,White Wine
1179,6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7,White Wine
696,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,White Wine
4417,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,White Wine
2496,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,White Wine
2757,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7,White Wine
3928,7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7,White Wine
4047,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,White Wine
2051,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6,White Wine
3310,6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,White Wine
1747,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5,White Wine
2904,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7,White Wine
902,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5,White Wine
3868,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5,White Wine
4723,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6,White Wine
4998,6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6,White Wine
4930,7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,White Wine
604,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,Red Wine
3686,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,White Wine
869,7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6,White Wine
3451,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6,Red Wine
3781,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,Red Wine
5229,7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,Red Wine
1353,7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6,White Wine
100,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,White Wine
4790,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6,Red Wine
845,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,Red Wine
6037,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,White Wine
5627,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,Red Wine
671,6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6,White Wine
3665,6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6,White Wine
3107,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6,White Wine
237,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5,White Wine
6394,6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,White Wine
1305,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,White Wine
21,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,White Wine
1253,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,Red Wine
6102,6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,White Wine
400,6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5,White Wine
5273,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5,White Wine
1006,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,White Wine
3191,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,5,White Wine
1701,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,Red Wine
5505,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5,White Wine
5509,8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5,White Wine
1734,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,White Wine
3418,8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6,White Wine
586,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,White Wine
5046,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6,White Wine
830,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,White Wine
1608,5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5,White Wine
6343,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,White Wine
3205,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,Red Wine
4795,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,White Wine
5290,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,White Wine
4547,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,White Wine
6282,6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,5,White Wine
4850,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,Red Wine
1337,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,Red Wine
3547,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,Red Wine
5465,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6,White Wine
387,8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5,White Wine
5245,5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6,White Wine
2766,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,White Wine
3922,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,Red Wine
1221,8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6,White Wine
5818,8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,Red Wine
1924,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,White Wine
709,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,White Wine
447,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,Red Wine
350,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6,Red Wine
664,7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7,White Wine
3715,6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,White Wine
4421,7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6,White Wine
424,7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,8,White Wine
4260,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6,White Wine
1201,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,White Wine
3511,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,White Wine
2712,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6,White Wine
673,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,White Wine
1938,7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6,White Wine
4558,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,White Wine
753,6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6,White Wine
1973,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5,Red Wine
4843,6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6,White Wine
4142,6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,6,White Wine
2687,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6,White Wine
337,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,White Wine
5277,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6,Red Wine
3596,5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7,White Wine
3702,7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,White Wine
1838,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6,White Wine
2934,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,White Wine
4384,8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,6,White Wine
115,5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,6,White Wine
5719,6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7,White Wine
2684,7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5,White Wine
4505,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6,Red Wine
3246,10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,Red Wine
2546,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,White Wine
4718,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,White Wine
5696,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5,White Wine
3404,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7,White Wine
3958,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,White Wine
2633,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6,White Wine
4242,9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6,White Wine
2820,7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5,White Wine
1799,5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7,White Wine
2691,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6,White Wine
1072,7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,6,White Wine
3148,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9,White Wine
6437,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,Red Wine
