,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
4212,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5,White Wine
1517,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,Red Wine
1584,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,White Wine
6253,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,White Wine
2002,9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4,White Wine
2227,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6,Red Wine
2609,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,White Wine
3143,7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6,White Wine
3505,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,Red Wine
4078,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5,White Wine
5405,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,White Wine
4611,6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5,White Wine
74,8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6,White Wine
3393,5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6,White Wine
6007,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,White Wine
3604,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6,White Wine
3280,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5,White Wine
5162,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,7,White Wine
5618,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,Red Wine
28,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,White Wine
1434,6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6,White Wine
2903,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5,White Wine
3252,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,Red Wine
6448,7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5,White Wine
6082,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,White Wine
1638,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7,White Wine
777,7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,White Wine
3444,6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,7,White Wine
5865,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,Red Wine
4953,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5,White Wine
5500,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4,White Wine
885,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4,White Wine
612,6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5,Red Wine
4186,6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,6,White Wine
1092,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,Red Wine
617,6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,White Wine
1546,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,Red Wine
4108,6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6,White Wine
5736,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6,White Wine
2273,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6,White Wine
2469,6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5,White Wine
4263,6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6,White Wine
928,8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5,White Wine
1402,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,White Wine
3361,7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7,White Wine
922,7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,6,White Wine
99,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6,White Wine
2354,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,Red Wine
2392,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5,White Wine
5908,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7,White Wine
4830,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4,6,White Wine
1608,5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5,White Wine
5394,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6,White Wine
5529,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,5,White Wine
920,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5,White Wine
3306,6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6,White Wine
5755,8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6,Red Wine
284,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8,White Wine
5784,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,White Wine
3730,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,White Wine
6316,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,Red Wine
2349,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7,White Wine
2870,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6,White Wine
0,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,White Wine
2186,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,Red Wine
4803,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,White Wine
6022,7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6,Red Wine
5851,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,White Wine
5987,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,White Wine
2489,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,White Wine
4038,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5,White Wine
2963,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,White Wine
1186,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5,White Wine
2098,7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6,White Wine
6386,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,White Wine
4966,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,White Wine
2068,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5,Red Wine
4726,6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,6,White Wine
2176,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,White Wine
5604,6.9,0.2,0.3,4.7,0.041,40,148,0.9932,3.16,0.35,10.2,6,White Wine
4201,7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,White Wine
225,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6,White Wine
1807,6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6,White Wine
3190,6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6,White Wine
2199,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,Red Wine
1932,7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6,White Wine
3973,5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6,White Wine
3841,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,White Wine
266,6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,6,White Wine
3078,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,White Wine
5382,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,White Wine
614,6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5,White Wine
4006,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5,White Wine
4427,7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5,White Wine
5490,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,White Wine
1365,6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5,White Wine
3454,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8,White Wine
2418,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,White Wine
3330,7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5,White Wine
4765,6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5,White Wine
5641,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,Red Wine
627,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75,5,White Wine
968,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8,White Wine
4485,5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,6,White Wine
181,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,White Wine
2283,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,Red Wine
4289,6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7,White Wine
3134,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,White Wine
2380,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4,White Wine
5781,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5,White Wine
120,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,White Wine
5906,6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6,White Wine
6489,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,Red Wine
525,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,White Wine
222,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5,White Wine
3676,6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6,White Wine
4332,6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6,White Wine
2153,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,Red Wine
3285,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6,White Wine
3590,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,Red Wine
4708,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6,White Wine
3632,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,Red Wine
1576,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,Red Wine
922,7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,6,White Wine
6287,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,White Wine
5055,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,Red Wine
3557,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,White Wine
3109,6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6,Red Wine
4191,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,6,White Wine
6496,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,Red Wine
2544,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,Red Wine
6352,8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5,White Wine
6432,7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,5,White Wine
62,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,Red Wine
2442,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,Red Wine
2444,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,Red Wine
5725,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,Red Wine
5533,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,White Wine
6490,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6,White Wine
2023,6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6,White Wine
150,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,White Wine
403,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6,White Wine
2437,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6,White Wine
2852,7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6,White Wine
4691,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7,White Wine
127,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,Red Wine
1508,5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6,White Wine
1797,7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,White Wine
2508,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9,5,White Wine
3825,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5,White Wine
1107,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,White Wine
3980,8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6,White Wine
2022,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,White Wine
1159,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,White Wine
3252,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,Red Wine
592,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,White Wine
1024,6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6,White Wine
3799,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,White Wine
3715,6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,White Wine
4669,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5,White Wine
2371,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,Red Wine
3216,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6,Red Wine
1904,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,Red Wine
1481,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5,White Wine
116,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,White Wine
741,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,White Wine
824,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,Red Wine
5438,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,White Wine
5265,7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6,Red Wine
1909,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6,White Wine
3593,7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7,White Wine
4588,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,White Wine
5310,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,White Wine
2127,6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,White Wine
742,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,Red Wine
417,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,Red Wine
1924,7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,White Wine
2960,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,White Wine
2276,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,Red Wine
1863,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,White Wine
2414,7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6,White Wine
7,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5,White Wine
790,6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4,White Wine
1890,6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6,White Wine
2206,8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6,White Wine
1782,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6,White Wine
1616,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6,White Wine
1179,6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7,White Wine
4591,5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,6,White Wine
626,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,White Wine
6103,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6,Red Wine
5966,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,Red Wine
4071,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,Red Wine
798,9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,Red Wine
2138,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7,White Wine
6434,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,White Wine
2614,6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6,White Wine
1873,6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6,White Wine
4720,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,White Wine
4517,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6,Red Wine
5188,11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6,Red Wine
437,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,White Wine
3085,5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6,White Wine
6245,8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5,White Wine
4883,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,Red Wine
3336,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,Red Wine
1745,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,Red Wine
5317,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5,White Wine
2428,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5,White Wine
100,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,White Wine
1409,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5,White Wine
765,6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,White Wine
5277,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6,Red Wine
4997,6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,White Wine
4326,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,White Wine
4600,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,White Wine
6056,6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8,White Wine
2710,9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5,White Wine
3102,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,White Wine
6399,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,Red Wine
1796,7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7,White Wine
4756,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,White Wine
2634,7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,6,White Wine
123,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,White Wine
6460,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7,White Wine
2789,6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5,White Wine
5370,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6,White Wine
1629,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6,Red Wine
4777,6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6,White Wine
5672,7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,6,White Wine
2236,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6,White Wine
1233,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5,Red Wine
4787,6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,5,White Wine
1320,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,White Wine
6203,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4,White Wine
2538,6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,6,White Wine
1502,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,Red Wine
2589,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,Red Wine
6369,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6,Red Wine
3749,8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5,White Wine
4478,7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,White Wine
2264,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,Red Wine
508,7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,White Wine
3137,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.26666667,7,White Wine
3272,6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12,7,White Wine
1408,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,White Wine
1111,5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,White Wine
3877,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,White Wine
5487,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,White Wine
2495,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,White Wine
2458,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,White Wine
